time_ms,has_target,X_cam,Y_cam,Z_cam
1784614300804,1,0.957000,-0.036804,0.004438
1784614300836,1,0.959000,-0.034500,0.006835
1784614300871,1,0.963000,-0.034643,0.006863
1784614300904,1,0.963000,-0.033049,0.003666
1784614300937,1,0.963000,-0.033846,0.002867
1784614300971,1,0.963000,-0.034643,0.003666
1784614301005,1,0.961000,-0.035367,0.001266
1784614301037,1,0.961000,-0.034572,0.002064
1784614301072,1,0.958000,-0.033671,0.002852
1784614301105,1,0.950000,-0.033389,0.002828
1784614301139,1,0.944000,-0.030053,0.002810
1784614301172,1,0.936000,-0.028248,0.002787
1784614301207,1,0.926000,-0.023347,0.002757
1784614301240,1,0.914000,-0.018504,0.001204
1784614301274,1,0.904000,-0.010070,0.003442
1784614301307,1,0.888000,-0.003275,0.004118
1784614301340,1,0.878000,0.004757,0.004800
1784614301374,1,0.864000,0.013264,0.004723
1784614301408,1,0.850000,0.022197,0.005352
1784614301442,1,0.837000,0.030865,0.004576
1784614301475,1,0.823000,0.037162,0.004499
1784614301508,1,0.807000,0.040448,0.000393
1784614301542,1,0.800000,0.041422,0.000390
1784614301577,1,0.792000,0.039040,-0.001586
1784614301610,1,0.787000,0.034885,-0.001576
1784614301644,1,0.781000,0.026860,-0.002860
1784614301678,1,0.776000,0.017052,-0.002198
1784614301709,1,0.777000,0.008712,-0.001556
1784614301742,1,0.776000,0.003562,-0.001554
1784614301777,1,0.771000,-0.002206,-0.002184
1784614301810,1,0.771000,-0.005397,-0.002824
1784614301845,1,0.772000,-0.002848,-0.001546
1784614301876,1,0.774000,0.002271,-0.001550
1784614301911,1,0.775000,0.009973,-0.001552
1784614301945,1,0.776000,0.017695,-0.001554
1784614301978,1,0.777000,0.025436,-0.000266
